

40  7.871 
40  7.877 
40  7.863 
40  7.877 
40  7.871 
40  7.877 
40  7.863 
40  7.874 
40  7.871 
40  7.865
50  9.608
50  9.591 
50  9.600 
50  9.582 
50  9.582 
50  9.600 
50  9.587 
50  9.587
50  9.608
50  9.600
70   12.94
70   12.93
70   12.94
70   12.93
70   12.94
70   12.94
70  12.91
70  12.92
70  12.95
70  12.94
90  15.94
90  15.84
90  15.91
90  16.01
90  15.98
90  15.89
90  15.82
90  15.89
90  15.88
90  15.90
30  5.981
30  5.980
30  5.983
30  5.985
30  5.985
30  5.981
30  5.981
30  5.978
30  5.981
30  5.977
80  14.40
80  14.39
80  14.40
80  14.41
80  14.42
80  14.39
80  14.43
80  14.37
80  14.44
80  14.37
100  17.23
100  17.17
100  17.23
100  17.17
100  17.15
100  17.19
100  17.21
100  17.24
100  17.23
100  17.22
20  4.012
20  4.014
20  4.015
20  4.011
20  4.013
20  4.011
20  4.020
20  4.014
20  4.009
20  4.011





